target,text,processed_text
positive,"@ddlovato and @DavidArchie, it's such a combination.  I LOVE IT. I so wanna watch them.  @aliyoopah, escape with me there! Hahaha.",its such combination love wanna watch them escape with there hahaha
positive,Hey..been busy today!! lol.. Got bronagh onto twitter shes &quot;hooked&quot;  ..im soo proud of myself... tweet soon..,heybeen busy today lol got bronagh onto twitter shes quothookedquot soo proud myself tweet soon
positive,"@smoshian meh, i think i'll keep following. you're starting to scare me with your threats. ",meh think ill keep following youre starting scare with your threats
positive,taking to her very first friend at northwood!! yeahHHHH! ,taking her very first friend northwood yeahhhhh
negative,@StumpItUp  My Parents can't take me oh no I can't bus either my mum doesn't trust me to go on a bus by myself oh well nevermind,parents cant take cant bus either mum doesnt trust bus myself well nevermind
positive,@brainofdane DUDE.  You're a hax0r!!!1!  You should put Final Cut Pro on there and tell me how stable it is ,dude youre haxr you should put final cut pro there tell how stable
positive,"I love my younger students, they just go with what feels good, I never have to tell a kid, you are thinking too much, relax! ",love younger students they with what feels good never have tell kid you are thinking too much relax
negative,No cell phone!  I apologize if anyone has tried to contact me lately... be back home tomorrow!,cell phone apologize anyone has tried contact lately back home tomorrow
positive,i'm sooo getting some sigma brushes for my contest ,sooo getting some sigma brushes contest
negative,"#FF to my favorite restaurant,so far away  @NaplesTomato , have awesome weekly specials &amp; fun tweet ups. Great crowd,  a place to be seen",favorite restaurantso far away have awesome weekly specials amp fun tweet ups great crowd place seen
positive,going shopping with mom and @shannaluvswayne for her dress for the wedding ,going shopping with mom her dress wedding
positive,"Just saw The Hangover..really inspirational material there  In all seriousness though, it was pretty funny! Almost as good as Eurotrip!",saw hangoverreally inspirational material there all seriousness though was pretty funny almost good eurotrip
negative,"@missroxieanne Awwww  I know how you feel, hopefully you'll come up with something even better than before.",know how you feel hopefully youll come with something even better than before
positive,stay positive yall. Tomorrow is a new day ,stay positive yall tomorrow new day
positive,What a fun night ,what fun night
negative,I'm very sad because my fedex tracking number isn't working it's been 2 damn days *cries* where is by new laptop? ,very sad because fedex tracking number isnt working its been damn days cries where new laptop
positive,@neerav I am also happy to help people doing research that includes my cartoons. ,also happy help people doing research that includes cartoons
positive,Going to see UP tonight... yay  I love movie nights with the boytoy &lt;3,going see tonight yay love movie nights with boytoy
positive,@BMROPSHQ Agents &amp; leader: Let me take this moment to say: I miss Agent @ElleySPN! Can't wait for her return from the field! ,agents amp leader let take moment say miss agent cant wait her return from field
positive,@MrPeteyWheat smh ... she's definitely playing the game right lol! ,smh shes definitely playing game right lol
negative,Finally my windows laptop has conked off ,finally windows laptop has conked off
positive,@DrMomOnline I wouldnt try either  (not sure this will work...skim down? http://tinyurl.com/cjurns),wouldnt try either not sure will workskim down
negative,@Jason_Manford I get it in work all the time!!!! Moving back there in a couple of weeks  so I really gotta start speakin it again!,get work all time moving back there couple weeks really gotta start speakin again
negative,@gunsandbutter12 o yeah!!! I remeber u weren't happy bout that ,yeah remeber werent happy bout that
negative,@sheisXiomada girl I don't even know!! At least it turns on! Could be worse! ,girl dont even know least turns could worse
negative,Wishing I felt better   Ugh!!! My Body is fighting some type of flu virus or something. I'm taking it easy today.,wishing felt better ugh body fighting some type flu virus something taking easy today
negative,@VincentHranica me too! ,too
positive,FOLLOW ME!!  PLease!!!! D-Day Jay-Z #robotpickuplines Death of Autotune Tetris Goodnight Hangover Conan #jessicaveronica Palm Pre...hmm..,follow please dday jayz death autotune tetris goodnight hangover conan palm prehmm
positive,@kittycatty12 - well done ,well done
negative,Apple is laughing at all of us waiting for OS 3 all night long! FFFFUUUUU ,apple laughing all waiting all night long ffffuuuuu
negative,@AKAmplish never cooked for me ,never cooked
positive,gonna be on twitter hiatus for a week. ,gonna twitter hiatus week
negative,@dustondust what?  why not?  ,what why not
positive,@vharte aww Twitter keeps family together!  How are you today hun?,aww twitter keeps family together how are you today hun
positive,where's @paramaecia and @shubbspy? ,wheres
positive,Reading until No Doubt ,reading until doubt
negative,"@russellsauve unfortunately, no Diamond Dawgs win today  ring it anyways!",unfortunately diamond dawgs win today ring anyways
negative,i want dairy queen ,want dairy queen
positive,"First time use twitter~not bad, I think ! ",first time use twitternot bad think
positive,Takin dog 4 a walk. Nic ad really bad day/nite due 2 infection. Tabs worked. She is now sleepin  ,takin dog walk nic really bad daynite due infection tabs worked she now sleepin
negative,@TeamHate I am! ...but I'm in Santa Cruz ,but santa cruz
positive,@mileycyrus I hope you have a good time while your here. We don't get many celebs here in bentonville besides our wal-mart visitors! ,hope you have good time while your here dont get many celebs here bentonville besides our walmart visitors
negative, I woke up from the deadly pain in my ribs...... I just know I gonna die!  cry cry cry it hurts so bad! Oh and good morning! ,woke from deadly pain ribs know gonna die cry cry cry hurts bad good morning
positive,This Time Next Week I'll Be In The Bahamas!!! WhooHooo!! ,time next week ill bahamas whoohooo
negative,"@saffir_99 Ugh, that stinks. Some people just don't THINK they are doing wrong, and they don't apologize at all. So sad ",ugh that stinks some people dont think they are doing wrong they dont apologize all sad
positive,Man.. When the wife and kids are gone I go by bachelor hours... Still haven't gotten around to dinner.. Guess I better go eat! ,man when wife kids are gone bachelor hours still havent gotten around dinner guess better eat
positive,@laughscreamsing haha. my friend laValle is my hero ,haha friend lavalle hero
negative,*sighs* Dear Nylon. You suck. I want free music but I can't download. ,sighs dear nylon you suck want free music but cant download
positive,"The baby clothes on soul-flower are so cute, Im going to get some of those for Elijah  Beware Cory hehe",baby clothes soulflower are cute going get some those elijah beware cory hehe
positive,@livingcrazeh  hahahaa.. atlast! i had an idea of what is really going on ,hahahaa atlast had idea what really going
positive,Back to evap cooler ~ temps back down into the 90s for a few days. I can deal! ,back evap cooler temps back down into few days can deal
positive,@BeccaHabegger im actually excited about this one!   the fuel thing wasnt really my favorite ;) have fun!!,actually excited about one fuel thing wasnt really favorite have fun
negative, sick. Physically and emotionally,sick physically emotionally
positive,"Trying out Tweetdeck...IDK how it'll work out for me, but thus far it looks pretty nifty...TY @PennyAsh for the suggestion. ",trying out tweetdeckidk how itll work out but thus far looks pretty niftyty suggestion
positive,Once again.I beg of you ..Please vote for Mr Twitter universe. VOTE FOR THESE 2 CUTE GUYS.. @AgentBooth &amp; @ParkerBooth ,once againi beg you please vote twitter universe vote these cute guys amp
positive,"@Natalie_Alvey Don't worry, you'll be seeing Rob nekkid in 2 days! ",dont worry youll seeing rob nekkid days
negative,not wanting to work today ,not wanting work today
positive,Awwww snaps! Drunk dialing time ,snaps drunk dialing time
negative,I have to take my PSP apart. ,have take psp apart
positive,@hotNsauceY  TRUE!  Haha oh! guess what!?  my boss said you can work here when you visit me. as long as your store man says its ok ,true haha guess what boss said you can work here when you visit long your store man says its
negative,@ashieldsss  no notttt work   i buy my own phonnne soon we text all day an night babeh hahaha,notttt work buy own phonnne soon text all day night babeh hahaha
negative,I apologize for the delay in updates. Been having issues with me phone ,apologize delay updates been having issues with phone
negative,Miss my air conditioning ,miss air conditioning
positive,eeeek  im up at 8 this morning. hello jeremy kyle ,eeeek morning hello jeremy kyle
negative,@DougEFreshbk he he heey ... how are you? watching MTV... aren't they going bankrupt? at least vh1 still going... &lt;-bored as u can see. ,heey how are you watching mtv arent they going bankrupt least still going ltbored can see
positive,Enjoying that margarita now  ,enjoying that margarita now
negative,@sourapplemedia is that coffee house at City Center?  I miss the Italian Ice shop next door ,that coffee house city center miss italian ice shop next door
negative,puked  by far the worse yet. i think my tummy came up! wtf!,puked far worse yet think tummy came wtf
negative,i dont feel very well ,dont feel very well
positive,@kimberley_ clean and listen to the song? turn it up ,clean listen song turn
positive,Did some photography down at the Dreambank while @MightyTDazzler is rocking it. I am sure he will post them here on Twitter ,did some photography down dreambank while rocking sure will post them here twitter
positive,I am on my work break ,work break
negative,@wastethesewords I wanna heaaarrr  ,wanna heaaarrr
negative,no idea ,idea
negative,@smoshian i don't get why they re-recorded tastes like kevin bacon for the new album and not ulrich firelord. it's so much better ,dont get why they rerecorded tastes like kevin bacon new album not ulrich firelord its much better
positive,"@billyraycyrus and what about Monterrey, Mexico Mr.Cyrus. Do you read our comments? ",what about monterrey mexico mrcyrus you read our comments
positive,@thinksmith we need to talk  you are one step ahead... i know another two people who are also one step ahead ,need talk you are one step ahead know another two people who are also one step ahead
positive,finally on my way home... so I'll be able to unwind.. ,finally way home ill able unwind
positive,@ashliegel WOOF! When are you buying a house??? I like to walk ,woof when are you buying house like walk
negative,@himynameisrose i know aye  cos i didnt get there in time ;( eh next time lol,know aye cos didnt get there time next time lol
negative,"Dammit, now I've got the hiccups. ",dammit now ive got hiccups
positive,Dance Floor Anthem [I Don't Wanna Be In Love]  Good Charlotte &lt;33,dance floor anthem dont wanna love good charlotte
positive,...turning out. That should keep it interesting. haha. I'll be off to bed now! It's cccoollld but I like it. hahaha. Gudnyt! ,turning out that should keep interesting haha ill off bed now its cccoollld but like hahaha gudnyt
negative,@mduncan_9 here .. ,here
negative,@zirnhelt Found this too today. Asked AP to send me push notifications but none so far  #OS #iPhone,found too today asked send push notifications but none far
positive,"Morning everyone. Busy Friday-contracts, review final banner designs, client follow ups and trying to wrap web dev proj. Oh, &amp; #ff lists ",morning everyone busy fridaycontracts review final banner designs client follow ups trying wrap web dev proj amp lists
negative,"It's not our night, we've been here for 2 hours and still haven't sung ",its not our night weve been here hours still havent sung
negative,@gemmak500 morning. Well it's Dull in Hull this morning  feels like rain,morning well its dull hull morning feels like rain
positive,I heart glee. ,heart glee
positive,"@sareuh what time would you guys be doing TT tonight? I might be able to go  @ChrisFourmont, family will be there ALL week, TT only today!",what time would you guys doing tonight might able family will there all week only today
negative,"PENS BETTER WIN, CRITIQUE WRITING TIME ",pens better win critique writing time
positive,@karasw I concur with @annielogue! It's priority on today's to do list  http://twitter.com/karasw/status/1695368792,concur with its priority todays list
negative,sad  I don't know why I sad ,sad dont know why sad
negative,Our poor pup lady isn't doing so well ,our poor pup lady isnt doing well
positive,"philippine fashion week... Thanks eugene for the ticket. It was awesome. very quick though, bit twas worth watching. ",philippine fashion week thanks eugene ticket was awesome very quick though bit twas worth watching
negative,How do I turn my picture back to it's normal colour? ,how turn picture back its normal colour
positive,@sharmainerae oh. ,
negative,"Aww, I had a bunch of stuff to say about #hotlesbiantwitterlovin but I got disconnected  good night!",aww had bunch stuff say about but got disconnected good night
negative,"aww sad, the cafe is out of soft pretzels ",aww sad cafe out soft pretzels
negative,wants to have a new fifa lanyard.  but i dont have money.,wants have new fifa lanyard but dont have money
negative,@brockmanj yeah I am... ,yeah
positive,enjoying a much deserved day off  and the calm before the summer school storm lol!!!,enjoying much deserved day off calm before summer school storm lol
positive,@nofe do you really want to spend 4 months doing NOTHING ?? yalla nofe i knw u enjoy hard work ;p good luck ,you really want spend months doing nothing yalla nofe knw enjoy hard work good luck
positive,@KimSherrell hope you have a wonderful weekend ,hope you have wonderful weekend
positive,@Joe calm down joe! breathe breathe ,calm down joe breathe breathe
positive,@WestCoastGal88 Ins is a good idea-I wish I had it.  Go thru the ASPCA-low rates.  Tell me bout it...I still hv to kp my boy frm jmping! ,ins good ideai wish had thru aspcalow rates tell bout iti still boy frm jmping
negative,@Whatakicker thanks. And nope. ,thanks nope
positive,says hey respon dong!  http://plurk.com/p/yvrfs,says hey respon dong
negative,"I have a headache. Seriously, it hurts ",have headache seriously hurts
negative,@QueenRanda lol I rather b anywhere but home cleaning  http://myloc.me/2KwO,lol rather anywhere but home cleaning
positive,@gulpanag Your Thoughts on World No Tobacco Day ?? ,your thoughts world tobacco day
negative,@AshMarie214 they tried to take me 2 jail sissy  apparently i have a warrant in agg town (yeah shocked the hell outta me 2)lmao yeah right,they tried take jail sissy apparently have warrant agg town yeah shocked hell outta lmao yeah right
positive,I had a great time! thanks for letting me be there ,had great time thanks letting there
positive,"@emmerline123 by the way, emmerline your OBSESSED ",way emmerline your obsessed
negative,"Lines, Vines and Trying Times! In stores June 15th. Not in Indonesia, to bad ",lines vines trying times stores june not indonesia bad
negative,"@emilynoel83 hi emily, in ur next tut could you please show us in more detail how you do your outer v shape? i always have trouble  thanx",emily next tut could you please show more detail how you your outer shape always have trouble thanx
positive,drunk at my cuzins splash party  ,drunk cuzins splash party
positive,i'm (not) walking in the rain....   es regnet wie aus Eimern. schÃ¶ner Sommer ,not walking rain regnet wie aus eimern schner sommer
positive,Twilight party today ,twilight party today
positive,@katekintail Better than nodding off when you're &quot;IN&quot; one  LOL,better than nodding off when youre quotinquot one lol
positive,just trying to get things done... ,trying get things done
negative,@mellomatic  oh wait I mean ,wait mean
positive,http://twitpic.com/6oqa6 - :O Demi's new album cover... WOW it is gorgeous! ,demis new album cover wow gorgeous
positive,"http://tinyurl.com/cgpg6c   When you find those, dibs on them! ",when you find those dibs them
negative,@norkie dude that sucks! im sorry ,dude that sucks sorry
positive,Wolverine was awesome  Hugh Jackman is so sexy O.O   I love X-men,wolverine was awesome hugh jackman sexy love xmen
positive,"Loving Monday night meatballs. (Starring the weekend's barbecued chicken, grilled pork belly, kielbasa, corned beef and beef steak ",loving monday night meatballs starring weekends barbecued chicken grilled pork belly kielbasa corned beef beef steak
negative,I def still need to be taking an antihistamine.  didn't take it last night.  feel like crap today.  ,def still need taking antihistamine didnt take last night feel like crap today
negative,Tired eyes from playing guitar hero and making dinner... Made white choc brownies but don't feel like eating them ,tired eyes from playing guitar hero making dinner made white choc brownies but dont feel like eating them
negative,It's over  I'm gunna miss some ppl going to knolls ,its over gunna miss some ppl going knolls
positive,This is why my titanium race can is a bit loud! Bit of repacking required  http://twitpic.com/6qgo6,why titanium race can bit loud bit repacking required
negative,This weather is poop. Bet it's sunny in Venice Beach ,weather poop bet its sunny venice beach
positive,Good morning Tworld...Happy Tuesday! ,good morning tworldhappy tuesday
negative,I'm being hounded by &quot;Your Horny Kitty&quot; twitter accounts. ,being hounded quotyour horny kittyquot twitter accounts
positive,right-vehicles washed. time for another cuppa and to get on with some paperwork. hope you're having a good Saturday so far ,rightvehicles washed time another cuppa get with some paperwork hope youre having good saturday far
positive,searching a party ,searching party
positive,"My aunt's fiancï¿½e is now in Australia from Chile! He brought back Super 8s, Galleta Triton, Negrita and Big Time bubble gums!!! ",aunts fiance now australia from chile brought back super galleta triton negrita big time bubble gums
negative,"Beyonce was so amazin last nite, wany go again i really hope she comes back soon :'( Best concert ive ever been at ",beyonce was amazin last nite wany again really hope she comes back soon best concert ive ever been
negative,down with a nasty cough!  Hope to be out and about soon..,down with nasty cough hope out about soon
positive,good morning/midday nation!  FORMULA ONE IN ONE HOUR!,good morningmidday nation formula one one hour
negative,Just went to the gym to work on the guns or lack of... I think my best days are behind me ,went gym work guns lack think best days are behind
positive,@drmomentum that's too bad because your comments are always insightful ,thats too bad because your comments are always insightful
negative,"@nicolerichie I haven't seen Marley &amp; Me, but, I'm pretty sure it's Marley that passes away ",havent seen marley amp but pretty sure its marley that passes away
positive,@TrapCast_Jenn - Thanks - I think I got it! ,thanks think got
negative,i's gettin' ready for a *party* and then work tonight... Can't even go to the Jord's wedding  O's well,gettin ready party then work tonight cant even jords wedding well
negative,Aahh mocks tomorrow  back to school for me!,aahh mocks tomorrow back school
negative,Uggg......My pooch looks like a beer belly ,ugggmy pooch looks like beer belly
negative,@danlewisnet essentially I've had a few things come up that are preventing me from being down there tomorrow night. @ericharlan suffers ,essentially ive had few things come that are preventing from being down there tomorrow night suffers
negative,craving a bubbble bath with pink champagne! dont think we have any champs tho! ,craving bubbble bath with pink champagne dont think have any champs tho
positive,Just got out of UP! Yaaay it was so good!!! ,got out yaaay was good
negative,@petewentz Pleaaaase let me babysit BX to end my loneliness x) Babys can surely better my mood ,pleaaaase let babysit end loneliness babys can surely better mood
negative,Dang I have mondays ,dang have mondays
positive,@Xavsmith is it worth the 6 quid? I'm thinking if getting it ,worth quid thinking getting
positive,@RachelPuckett @xtofer great question! We tried to ask it and we got shut down ,great question tried ask got shut down
positive,@djlexnyckillah SURE  I did invite you! what kinda host wud i b if we didnt? ,sure did invite you what kinda host wud didnt
negative,"I'm a mess, I'm loosing my tech savvy mentality, 1st I had the PS3 meltdown in the winter, and now my Helio meltdown..this is bad ",mess loosing tech savvy mentality had meltdown winter now helio meltdownthis bad
negative,My baby Carmelo is sick  i hope he makes it thru the nite until i can get to a vet in the morning.,baby carmelo sick hope makes thru nite until can get vet morning
negative,"Lost a follower, thats just upsetting  ha",lost follower thats upsetting
negative,  To all the mothers whose day may not be so happy. God loves you. TLC - Waterfalls ? http://blip.fm/~5zi9g,all mothers whose day may not happy god loves you tlc waterfalls
negative,ppppfffffffffffffffffffffffffttttt     fiona's not amused tbh,ppppfffffffffffffffffffffffffttttt fionas not amused tbh
positive,@sc430girl Howdy Girly! Are the hippos behaving this fine Friday? GO PENS!!!  ,howdy girly are hippos behaving fine friday pens
positive,"studying the smoke addiction (i don't smoke,but i need for my job) ",studying smoke addiction dont smokebut need job
negative,I feel strangely ill for some reason right now. Head hurts. Probably anxiety. ,feel strangely ill some reason right now head hurts probably anxiety
negative,I miss you so...much!! I'm thinking of you all the time  Hell...No!! Ha ha (Evil Laugh) ;@,miss you somuch thinking you all time hellno evil laugh
positive,@abbyharenberg  Thanx! Have a great one too!,thanx have great one too
positive,@alexalltimelow i can't sleep either ,cant sleep either
negative,i mean today ,mean today
negative,"Today I have to work a lot with Andrea, she have to make a new plan for work, finishing the shoot we have to go and look for outfits ",today have work lot with andrea she have make new plan work finishing shoot have look outfits
positive,Has butterflies for the first time in a really long time! ,has butterflies first time really long time
negative,Worst part about being home is that i have no where to hang my michael phelps calender ,worst part about being home that have where hang michael phelps calender
negative,@laf8 I am at the work to ,work
positive,@igetmisty thanks misty! ,thanks misty
positive,"@Pepperfire My pleasure, Tina! ",pleasure tina
positive,@spillspace Your blog is lovely  Great  &amp; unique reads -  very nice .,your blog lovely great amp unique reads very nice
negative,@JPcashcash it's 3 o'clock in the morning for me. i really should sleep but i don't want to ,its oclock morning really should sleep but dont want
positive,"As an Australian, just which team should I support in the LFL ... SD or LA, I need help to decide, both teams look good! ",australian which team should support lfl need help decide both teams look good
positive,@Beccabird89 No I came up with it! You stole it! You took my text and forwarded it to Twitter. Now you cant steal the rest of it!!! ,came with you stole you took text forwarded twitter now you cant steal rest
negative,I really want to go to the lookout by the rivervalley but thats just a terrible plan for right now... ,really want lookout rivervalley but thats terrible plan right now
negative,"I HATE that corona advertisement on TV. Mostly because its winter, and it is actually from where I'd rather be ",hate that corona advertisement mostly because its winter actually from where rather
positive,"@kaotic2 hehe I'm proud of the thing  soon..it'll be off to college, &amp; I'll wonder where all the years went..::sigh::",hehe proud thing soonitll off college amp ill wonder where all years wentsigh
positive,animal collective june 6th ,animal collective june
negative,On my way to school. I want summer ,way school want summer
negative,@Jessg85 u think thats bad... im at home and working ,think thats bad home working
negative,i #blamedrewscancer for the death of gizmo the wonder bunny. Rest In Peace Gizzie ,death gizmo wonder bunny rest peace gizzie
positive,hahahah miley world  kristina your so cute!!,hahahah miley world kristina your cute
negative,Just noticed I have hit the 300 tweets mark. Following 32 followers 32.And Still Lance Armstrong and Levi Leipheimer don't follow me ,noticed have hit tweets mark following followers still lance armstrong levi leipheimer dont follow
negative,@clarkeana ugh mayunn they suck! ,ugh mayunn they suck
negative,@mrsxjonasx26 ohhhh...you didnt win??? im sorry ,ohhhhyou didnt win sorry
negative,@ItsGasolGood I'm sorry.  I'm such a fail.,sorry such fail
positive,ssssssssshhhhhhhhhhhh! don't tell anybody am here pretending am not busy while i do some web dev ,ssssssssshhhhhhhhhhhh dont tell anybody here pretending not busy while some web dev
negative,Damn if I didn't have rent to pay i'd be suuuuch a baller ,damn didnt have rent pay suuuuch baller
negative,Wasted and missing/wanting someone. This isn't fair anymore ,wasted missingwanting someone isnt fair anymore
positive,@Trudieanne it's ok now. It's 8 in the morning so I guess I will feel normal today ,its now its morning guess will feel normal today
positive,@dstrokeallday happy bday ,happy bday
positive,The best part about driving to get my morning coffee???  Rockin' out to great tunes &amp; seat-dancing!!  LOL ,best part about driving get morning coffee rockin out great tunes amp seatdancing lol
positive,@gigitastic No!  We are all friendly folks here in LaLa Land.  Rainbows and sprinkles ,are all friendly folks here lala land rainbows sprinkles
negative,Now it is drizzling  Guess that means the IDT wins.,now drizzling guess that means idt wins
positive,@justinedomingo justineey weeny .. why are you so emo!? =( it'd be hard to forget bout you... cuz you're one of a kind ,justineey weeny why are you emo itd hard forget bout you cuz youre one kind
negative,@DsBabyGirl  having a stressful morning! just got my computer back (crashed) - trying to reinstall everything. ,having stressful morning got computer back crashed trying reinstall everything
positive,I'm about to go have the second best vegitarian food I know of ,about have second best vegitarian food know
positive,watching planet earth with pat. fucking rad! miniature animals FTW!!  @lexiloohoo TOMORROW!! can't wait  &lt;333,watching planet earth with pat fucking rad miniature animals ftw tomorrow cant wait
negative,My saturday night: chuckee cheese with my siblings. Sweet ,saturday night chuckee cheese with siblings sweet
positive,Can't believe that I did what I did. I will never say what it is! ,cant believe that did what did will never say what
positive,"@katiapsyche Btw, your converting is AWESOME, but we use celsius in Canada. ",btw your converting awesome but use celsius canada
negative,Bleh. So im losing my voice. ,bleh losing voice
positive,"@animoenzo THANK YOU! that would be heavenly! i'm off one day next week so i hope to accomplish this by then. Enzo, blessed be! ",thank you that would heavenly off one day next week hope accomplish then enzo blessed
negative,Wait now we're talking of freshman memories.....omg this is sad! ,wait now were talking freshman memoriesomg sad
negative,Just realized that I havent played competitive basketball for more than a year now..  Need to check if I still have it..,realized that havent played competitive basketball more than year now need check still have
positive,@bigvon ... um please tell dude the goat is the symbol for a capricorn ... the BULL is for a taurus ... he about to get the wrong tat! ,please tell dude goat symbol capricorn bull taurus about get wrong tat
positive,@ReneVester Aw why didn't you bring me? ,why didnt you bring
positive,@coldplay http://twitpic.com/5f798 - good morning ,good morning
positive,#yam Digitale Muurkrant is hiermee een variant van Netvibes? een Social SharePoint community in company? Social services to the max! ,digitale muurkrant hiermee een variant van netvibes een social sharepoint community company social services max
positive,"@sampagan I remember when I went to see the LotR Extended Edition marathon ages ago. Went in at 7pm, left again at 7am. ",remember when went see lotr extended edition marathon ages ago went left again
positive,@Afrykah thanks  trying to keep on searching for good vesrsions ,thanks trying keep searching good vesrsions
negative,I'm sick now  Why me ?!,sick now why
negative,"Think I might go and have a bath, then I might go sit outside in the sunshine. Don't want to watch other SF - too raw ",think might have bath then might sit outside sunshine dont want watch other too raw
negative,@Smarttart410 aww!  poor Blue. Why does he have the collar on?,aww poor blue why does have collar
negative,@lindachong yikes! not really sure. ,yikes not really sure
negative,thinks she just did something really bad ,thinks she did something really bad
negative,Got up early to download iPhone3.0. No show. Rumor is 1PM Eastern. Way to go Apple  LOL http://tinyurl.com/mgro2f,got early download iphone show rumor eastern way apple lol
negative,Bored...please call with plans for tonight before in die ,boredplease call with plans tonight before die
positive,Blue october is one of the best bands ever. ,blue october one best bands ever
positive,Aahhh I missed my piano so much! Haven't played in ages! I love just pressing keys and &quot;jamming&quot; by myself  my little tunes amuse me,aahhh missed piano much havent played ages love pressing keys quotjammingquot myself little tunes amuse
positive,"@tracytaylor950 ah that makes sense, gracias chica ",that makes sense gracias chica
positive,@MsNessa lol I hear u follow me I'm following u... ,lol hear follow following
negative,"@MariaManiacs biology test tomorrow ... important test, I'm sure I'll get a bad bad D again  I need a B or a A! I would love a C though ..",biology test tomorrow important test sure ill get bad bad again need would love though
negative,wants to borrow someone's health insurance. ,wants borrow someones health insurance
positive,Why does drama exist in the world? What if it disappeared? :O That would be the day! ,why does drama exist world what disappeared that would day
negative,@kplovesdemi noo i wont be here ,noo wont here
positive,Church is best followed by a delicious lunch and an afternoon of shopping with mom. ,church best followed delicious lunch afternoon shopping with mom
negative,Bronchitis seriously sucks. I think I may cough up a lung... ,bronchitis seriously sucks think may cough lung
positive,You do now ,you now
negative,head-ache. and i can't go bowling ,headache cant bowling
positive,@RoadBunner thanks!!! ,thanks
positive,"@hannahschmitzer Great great!  haha, can't complain :] how about you?",great great haha cant complain how about you
positive,"my internet is back again, yipee! ",internet back again yipee
positive,@limyh With &quot;new&quot; CEO lets remain hopeful. Read Cindy Yeap's story.. good.But TM may oso just make a farce of the whole social 'dialogue' ,with quotnewquot ceo lets remain hopeful read cindy yeaps story goodbut may oso make farce whole social dialogue
negative,@VonnieLovesSPN I'm about to watch the eppy where they kill off Andy  I was always kinda sad they killed him off after the 1st season,about watch eppy where they kill off andy was always kinda sad they killed him off after season
positive,@umsuperstarj Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,get followers day using once you add everyone you are train pay vip
positive,7 reasons why KKR rock  http://tinyurl.com/cbm4w6,reasons why kkr rock
negative,@RdGood i miss you too booboocakes ,miss you too booboocakes
positive,is looking forward to a lovely eve ahead ,looking forward lovely eve ahead
negative,Work. An awful lot of work to do today ,work awful lot work today
negative,Hayfeverish ,hayfeverish
negative,http://bit.ly/13Ljp5 I chose it when I did shopping. I'll stay full till lunch. It's good for me. But it's still a boring brekkie option ,chose when did shopping ill stay full till lunch its good but its still boring brekkie option
negative,Been watching Conan's first week's reruns: we get all 5 of the week's Tonight Show only the ensuing weekend  But better than none! ,been watching conans first weeks reruns get all weeks tonight show only ensuing weekend but better than none
negative,feeling down ,feeling down
negative,Watching the notebook. ,watching notebook
negative,I blew a tank of gas in six hours. ,blew tank gas six hours
positive,Just made another big step  hehehehe! Love you babe!,made another big step hehehehe love you babe
negative,"ugh, cant open youtube on my laptop. i can open it on my pc but then there's no sound! ",ugh cant open youtube laptop can open but then theres sound
positive,Will The Hangover be released in Singapore?. Its funny  http://bit.ly/RP3km,will hangover released singapore its funny
positive,"don't forget the alcohol, oooh baby, oooh baby! Poor old Milez... ",dont forget alcohol oooh baby oooh baby poor old milez
positive,Cutting the grass. Be done soon. ,cutting grass done soon
positive,@mlexiehayden  your the best! thanks,your best thanks
positive,Now i'm eating smoked sausages. Food is good for the soul ,now eating smoked sausages food good soul
positive,@AnnaTaylors @lauriebee Glad to meet you ,glad meet you
negative,"finally got some sleep but I woke up, and she's still gone ",finally got some sleep but woke shes still gone
negative,"Fudge, maths tomorrow ",fudge maths tomorrow
negative,One day to the canal festival http://tinyurl.com/o349hv Just been let down by the photographer ,one day canal festival been let down photographer
positive,Good night everyone. ,good night everyone
negative,"good morning, still feeel like crap ",good morning still feeel like crap
negative,"the rodd brudenell river resort is so gorgeous and relaxing!! wish we had stayed more than one night  oh well, off to hopewell cape!",rodd brudenell river resort gorgeous relaxing wish had stayed more than one night well off hopewell cape
negative,Actually is sunburned ,actually sunburned
positive,"@machinemaria ...oh. hahahahahaha but no, seriously, i tell the wait staff they look great all the time, its the easiest nice thing to do ",hahahahahaha but seriously tell wait staff they look great all time its easiest nice thing
positive,@dannymasterson i would frickin die!! their yankee-ness blending together over love of junk food and self deprication ,would frickin die their yankeeness blending together over love junk food self deprication
positive,Awww onew is so romantic.jonghyun is so nice. Key is so loveable.minho is so cool.taemin is so cute  aww i love them all,awww onew romanticjonghyun nice key loveableminho cooltaemin cute aww love them all
positive,i just came back from shopping  got some nice thing's,came back from shopping got some nice things
negative,"@location415 FCUUUK!!!!!!!!!!!!!! too bad I got stood up 2 nights in a row..man, I need some new friends! ",fcuuuk too bad got stood nights rowman need some new friends
negative,... And I'm clearly a menace to spell check ,clearly menace spell check
negative,isPlayer Has Died! Sorry ,isplayer has died sorry
negative,reminder: Today's @Camera_Obscura_ in-store event and the @VarPlayhouse concert has been cancelled.  Hugs needed. ,reminder todays instore event concert has been cancelled hugs needed
positive,@amypalko Have a nice relaxing night...and a nice big glass of wine or two ,have nice relaxing nightand nice big glass wine two
negative,Angry the Electric is out in her house ,angry electric out her house
negative,@chrisdurso...wait! not peaches...it was a guy! but i dont remember his name ,wait not peachesit was guy but dont remember his name
