target,text
positive,homee. long day at school x] im a justice!  imissed yu Dana!!
negative,TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter 
positive,"@ALauderdale Thanks, right back at you! "
negative,@torischneebaum I have 103 fever 
positive,@trixie360 @PlanetXbox360 @FragDolls @majornelson Great press conf!  Some nice &amp; unexpected announcements!  
positive,@christay0102 That is what caused the collapse and knee injury 
positive,@whittneyraye aawwwww thank you  i just blushed///
negative,bored as hell 
negative,I have no access to my facebook account. It's stuffed up!  
negative,"@xbllygbsn might be a bit soon, mebby once he comes back, i'll see him :$ really no sure  :$. it is? lol ;). well... http://bit.ly/lTwT4"
positive,Good morning Malta  sending some tweets to all of you about Muovo's job vacancies. Tweet us back.  http://bit.ly/11TP5h
negative,"Woke up sick. Missed out on outing today so not very happy about that.  Whoever brought up the flu in humanity, I hope you burn and die."
negative,UNC dismantles Mich. St. to claim championship I wanted Nova to win 
positive,@SouthernHorses Yes! Peppermint essential oil! 
positive,@MuhammadAdel I guess that's one option 
positive,"@enia59 Oh goodie  Aw, I should try Rita with some, but she only ever seems bothered about grapes lol xxxx"
negative,in love with my boyfriend. he surprised the hell out of me today. (:*  oh babyyy!&lt;3 miss him so much. 
positive,Oh well 
positive,@ComedyQueen no idea. Just woke up early is all 
positive,@seejoshflounder haha clearly! That makes me feel better because mine was at least relevant to today. 
negative,Still waiting at the airport after 1+ hour. Not looking forward to the ridiculous traffic. So much for an early day. 
negative,@andzoidberg Damnit I need to see that. 
negative,freaking out 
negative,ugh 2 more hours of meat and fish work 
negative,I got a parking ticket and I was parked in front of my house 
positive,@lindalhall I can't do without my early morning quiet time.  
negative,@Star_cullen  me 2 
negative,"@Alvhin it was a caress, not a pinch "
negative,@ceethedon lmao ugh i wish i can hustle  shit has me soo stressed im gon sell ass or sumthin lol uhm. Fire island is wat it is....Gay.
positive,just landed in Dï¿½sseldorf! Looking forward to meeting Vasco. 
negative,"@kellebelle1981 he is gorgeous!  im just a little bit biased though, its going to kill me when he has to have surgery again next month "
negative,"at the ER with @unperfectwolf for her stomach pains. they just took her back, no idea what's wrong yet. "
positive,@greyseer Lemon-lime soda I grew up on. I'll bring some this weekend. 
positive,"@twinkle47 i am tryin to improve my will power.its been there since thursday and not touched,lol "
negative,how did i end up like this? 
negative,@wuzzyangel You never answered your DM I sent you....   I need your info...
positive,"hi, @pilysuper how are u? "
positive,clearing up from breakfast listening to Love Song of J Alfred Prufrock.  Read poetry on youtube etc. one of my discoveries of this years 
positive,@LilPecan Ahh thought you had your fur is all nice and fluffy..  Is nearing sleepy time here.
positive,"@redallisonblack hey allison, just letting you know you have fans in the uk! feel special haha because you are "
positive,is sitting and listening to the incessant rain and slow violins...  Melancholy much? ;P
positive,@UlunkJoesandy oh. haha. ) I don't exactly know if who they are. lol. ) But it's all good now. 
negative,I Think That Your Loveee Is A Lieee!! 
negative,@flybitty LMAO! yes watchin true life... the hubby is working so i'm chillin by myself 
positive,@lancearmstrong He's so cute!!! Wishing the proud parents all the best on this little bundle of joy! Congratulations!!!  {hugs}
negative,very tired and want to go back to bed instead of going to school! 
positive,"I neeeeeeeddd a break! Only a page and a half to go  Man, I wish I had some ice cream!"
negative,"got my first exam tomorrow, and i have 2 essays to write. no bank hoilday for me "
positive,Loving http://ohmyscience.org/ - replace 'God' with 'Science'. Praise Science! Science help us! 
negative,ACK!!  97Â°!!!!  the 100 is coming.  
positive,Watching ice age  baha scrat is the best 
negative,@richardepryor doesn't sound good. Going through a bad time? 
positive,@KayleenDuhh Okay  He like widens his eyes in your direction 
positive,@ronld Its friday 
positive,"is going to bed, working 7-4 then going boating with the boys "
positive,@chloml that's one cool collection 
negative,"@kendalynne I tried doing character pictures for a few of my stories, but I still can't find the right ones "
positive,http://twitpic.com/3l07p - Here's a picture of my little King Elijah (age 1) Cutie pie 
negative,Feels like a crucial part of my night was missing 
positive,Back from a quick latenight reunion 
positive,@WordCampNOLA I'm GOING to make it this year... 
negative,TIme to go to work. will i get a tan there? 
negative,"@Dani___ okay, i'll finally get to meet Dia! that's her name, right? oh geez i'll feel so stupid if it's not. "
positive,"@dle90742 not boring, just making jealous  gorgeous sunset!"
negative,Where have the lovely ladies of @Briclyn_Ent been lately? 
positive,@Schofe afraid of soup?! seriously!! 
negative,@NatsuMeiyo Long time no speak. Dont be a stranger 
positive,@feblub really good news!! 
negative,my tummy is aching 
positive,@kassymay just to let everyone out there know that kassy wants to be me coz i'm so great so she always mean to me 
negative,@JOShYlOftY that site is crap and now it keeps changing my status 
negative,The hayfever pills don't seem to be working anymore 
negative,"@ChezRHill I am listening to The Truth by India Arie, and it reminds me of high school on the band bus "
positive,@jaspercullen I've always wanted to be affected by your special talents. 
negative,@Ptrsha good for you you'll be having your prom this year while me it's gonna be next year remember i stopped for a year 
positive,"@diamondhead94 LOL. Enjoy your grains, nutty. "
negative,hit an awesome sale at old navy tonight...oh only for the guys though 
negative,@tommcfly Mmmm im starving and stuck at work   if Tom tour man is with you i have just text him say hi to him it will be so funny  x
positive,@ktbeeper thanks  that'll be nice 
negative,"@dukesofdaville ric, you suck for changing the plan.  dude would have been gone by now.  thanks for nothing, old friend! "
negative, Happy Fathers day. ILUDaddy.    First father's day sans father.
negative,"@StewPink Bless ya darlin, sometimes its good being unemployed, but when its raining n no1 goes out its crap  xxxxx"
negative,"http://twitpic.com/4wfdp - Its been such a long time i havent gotten a moskito bit, why now!??!? "
positive,"and i can't wait for that to happen... soon, very soon... "
positive,Follow me and I will Follow YOU xox 
negative,attempting to clean up my friends place because she is very sick 
positive,is sooo upp  tanning? i think yes!
positive,"Okay, so I'm trying to help out buddies of mine. Please follow @Claire_inLaPush and @RebeccaBlack_ because they are AWESOME! DO IT. NOW. "
negative,I'm really good at losing the remote 
negative,im gutted bowt the katie n peter situation  xxxxxx
positive,@nicholle32 &quot;Girl for all seasons&quot; &amp; &quot;Hands of Time&quot; 
negative,@mikebailey01 I'll build you one! lol!!  I want it too 
positive,"@babymridul You don't need a salon, you need a saloon http://bit.ly/Tt0SA  "
positive,@ellaxceleste....now i understand why the hell twitter took over the world...its CRACKNESS and yes im using ya word @therealgbaby 
positive,Yup. Not gna work?    TaShA   
positive,I had a great alone time with the Man.  
negative,"they've used different rolling stock on train this morning, fewer seats in each carriage "
positive,@goodonskis  well done you 
positive,My dad wouldnt take me to where ever he is going! PB&amp;Teddybear 
negative,"bout to b in a NO twitter zone, allllllll day "
positive,"I don't even watch BGT yet even I'm glad Diversity won. I saw their first audition a while back, it was brilliant. "
negative,i wanna here we again!!!! but i don't find 
negative,"Peggle, you my only friend.   "
positive,just got homeee. need to revise  me and charley just recorded our phone call. sooo cool 
negative,...saying goodbye to my other half this morning  thank God for airplanes and vacation time!
positive,morning twitterville  how ius everyone today? Hello new followers nice to meet you 
positive,@bephoebe Too many people/dogs/stuff Too little space/general camping enthusiasm. With @odysseyqueen's brood numbers remain the same 
negative,@mktweetup nooo. i wish. not even web design 
positive,"@jonasbrothers Hello guys. I love them very much.Ohh Im from argentina , bye "
negative,not really feelin it today 
positive,Happy to see the Iphone Contract has gone down in price  ........A few more drops and by September it'll be free with a ï¿½15 monthly
positive,@fun_razor Thanks for the #followfriday . Really good of you 
negative,Thinking about my 9 month old son. The doctor says that he will need to get tubes in his ears. 
positive,@NathanFillion Right now the weather is gorgeous and looks to be all weekend. Shorts n tshirts n bbqs this weekend  It'll never last tho'!
negative,"@Malarkey [stupid ENTER button] is no longer working, due to server screw up "
negative,"I will pray for them, I know that 2 of them are from my city "
positive,@blissmanu I started at 15:50 and reached the finish line around 2:08 later. Quite proud of myself I must say! 
positive,has taken the day off schoooool 
positive,@minx100 good stuff  I'll be posting up to #huddle on Monday / Tuesday :-p #tweetschoolonline
negative,Is FUMING!!! My 3 week old IPOD is GONE! I haven't seen it since Tap 6 on Thursday. Teachers...please keep an eye out! 
negative,It makes me so sad that I lost so many followers today!!!   gosh..maybe I'm taking this twitter thing too seriously. ;) LOL
positive,Some Kinks for @Hive76   â« http://blip.fm/~7fknc
negative,@docbaty hey dude! my back is off to a cracking start  the rest is great! you?
negative,@guttedgrace I am SO sorry I forgot to get you today  I bet someone will let you borrow their car? (wink wink Stephy)
negative,@HelloImJustin yeah! I paid $50 for that game and I want to play it 
negative,@_doodle  Stupid bosses.
positive,"some of these sketches are alright, im pretty happy with them, will scan tomorrow and show you all "
negative,@RocketMinx yarr it's a bitch - eyes are bloodshot despite drops  I knew there was a reason I hated summer! And in ff7 I forgot where I am
negative,"my tail light its out  gonna attempt to fix it now, or just watch lucas do it idk :o"
negative,augh so annoyed today  then had a pointless argument with my honey. i mean really who cares whose meatball it was!
negative,Cat's right eye looked horrible when we got home this evening.  Will be going to vet eventually.
negative,"Wow, so @hypoh @Tangoberry and @carrotlove are probably all at Tyson's.  I wish I could have gone there to meet them  CURSES"
negative,@inlovewitharmy omg! i just slept alsooo.  we gotta be prepared for tomorrow. bj!
negative,Cant wait for the new season of greys anatomy :O the hot chick has cancer 
positive,Nearly 22C degrees! Warming up nicely here! 
negative,Today is the first day since we've been in the Keys that it's rained during the day 
negative,...I bet I won't be able to move in the morning  ah well that's what pain killers are for! Http://the-port.co.uk
negative,"@Hatz94 yeah, it won't let me change my profile pic either. "
positive,Udah ku follow balik @sheilasuhaeli ! 
positive,"@CathyBrowne When people ask me why anyone would use Twitter, I just stare, dumbfounded. It's for learning where you should eat, duh! "
negative,@anastaciakayray  can it be fixed? Go back!
negative,@nascarmdavis Sorry about the bad day 
positive,"Getting out of church, Feeling good  miss my Tampa Fam"
positive,@texanoutofwater I found a better pen around the house (Stabilo Write-4-All) plus better scale (not the usual 3&quot; high) and photo-lighting 
positive,@neiltring it was thanks! I got to rest after my insane few months on nonrest!  Sleep is so good for the soul!
negative,Pweaze don't rain until a get back from the sunbed shop 
positive,@janellems  how are you?
positive,@gilesc are you at Mesh?  Whats happening?  Keep us in the loop 
negative,It's too cold and gray for a summer day. 
negative,watching my baby sis sleep her pain away. . . hopefully she'll get discharged tomorow. povrecita 
negative,@officialTila  I'm in desperate need of love now a days 
negative,just woke up. phones dying bad. 
negative,"@HarrietKZJones Can't wear a jumper to a black tie event  I have a cardigan, that's it..."
positive,@charliesaxton Hey Charlie! Your mom was my acting teacher and I've just been following your stuff on IMDB. Keep up the good work. 
negative,enjoyed all the sunshine today since apparently another tsunami is heading our way within hours. 
positive,Church in the morning. Better hurry off to bed before the sunrises and I've went through another night with no sleep. Goodnight 
positive,Thanks @mahyuni @azfarrbaginda @juliancheong re: self-assembled. All my desktops before have been like that  @redsheep will do  Tx!
negative,"@heycassadee Don't like coffee at wall, tastes like warm water with slight flavouring "
negative,Gotta go now -_- Have to stop and say hay to my grandma alzheimes before we go to my big sis. I feel sorry for myself 
negative,Just had a hot shower after being saturated at netball  so nice now though
positive,"waiting for @bhalleyhs, as per usual "
positive,@cuteater Ð½Ð°Ð¿ÑÐ°Ð²Ð¾ Ð½Ð° ÐºÐ¾ÐºÑÐµÐ¹Ð» 
positive,@mileycyrus and also my boss is letting me come home early just so i cant get my tickets!! good thing i work on a farm with a cool boss! 
positive,"Off I go to Hundested. Big family with random homemade beer. Good stuff! Still... I just have to read - now for english examn, wedensday! "
negative,tell me why the person you think you know turns out to be your enemy 
positive,"@SimsDL I just accept them  If they're TS3 fans, they can be my friends "
negative,Looking forward to WWDC! Should I just skip school for it or what? Damn! Physics test on Wednesday 
positive,"It's a Blaqk Audio (waves at @shyboyswin) day today, methinks. So exciting that they're working on new material!! "
negative,@weeniebean and @hisyamkhalid is gonna leave soon too! Don't leave me 
positive,#musicmonday - follow us if you're a fan of McFly 
negative,Being a chef rules. Having to be in by 6am tomorrow does not 
positive,www.iphone-bulgaria.com just posted a great review for Chippy 
negative,@shellistevens The No Pudge brand? That's sad! 
negative,I really want 2 watch the TONY Awards. Unfortunately I won't b able 2  does anybody know if u can watch them live on ur blackberry?
positive,"I nailed the final, I am stating again FINAL exam (for this year)  I am smelling A Dinstinction :p"
negative,The best weekend ever! But ate soooo much crapppyyy foods   booooooo!!
positive,www.tini.us/freephone for international free phone calls and www.tini.us/uniblue for Driver Scan software! 
negative,on cam wiff nesriin  2day was fun but got sunburns 
positive,@mchl lmao I love that skit. Hate mom jeans though. 
negative,"@EvenAngels No, I feel horrible because I know I'm constantly bugging with my music and tech probs.  "
negative,Kate Nash inspires deep mother conversations. I an 12 minutes late for work bc mom was slow. 
negative,@deliaheartsyou i hope so la. but it's not confirmed sadly 
negative,@theebayk1d you haven't even given TweetDeck a chance.  They updated and released a iPhone app and everything!!
positive,@Altivo You and I are CLEARLY not marketing ourselves.  Luddites?    I block LOTS of people who want to follow my tweets.  MYOB ppl!
negative,@x_charlotteee 
negative,@Miss_Marilynn   I'll miss you!
negative,why did i agree to do an extra shift tomorrowww 
negative,@BeyonceBoi yeah they're gonna put a forever 21 in its place. I miss that store. so many memories. 
positive,"on my way to freedom - feels like i've been trapped in jail, for 2 &amp; a half friggin months --&quot; // &amp; omg i get to see rach, julz &amp; etc "
positive,Minority report I have seen this one but it's been long enough that hopefully I don't get too distracted with my icrack 
negative,Oh so tired.. I can't for my pillow and blanket..work at 8 yuck 
positive,"@satinephoenix not yet, on set but I think it has your ownership all over..maybe we can content smurf "
negative,"@idkay @stilv Right! If I'm not having awesome tasting coffee, I'm having none at all. "
positive,@RyanGarza your house? 
negative,Nuthing like rainy party 
negative,Good Morning/Afternoon my tweeps! Back at work today 
positive,"good morning! i finally had a good night of sleep, now i'm all rested and ready to hang out in the sun like the past few days "
positive,Aw I LOVE the sunday staff! Had such a funny day  havin a bbq with the fam now x
negative,@kirstiealley if you find a dental clinic let me know!  i'm dying and i don't have any insurance.. 
positive,@fallenfrommars hehe  oh ok.. i will check them out ;)
positive,@JoyKnows Aggression training? Ha! I dont need any help there.  unless u mean to control it. I need lots of help in that regard.
positive,My one friend said i should ask this guy out but idk if i want to i just nerve though of him like that befor....... Well night everyone!! 
negative,im going to make the most of this sunshine and go play tennis in the park! dont even know why im updatuing this i have 0 followers BOOOO! 
negative,is going to bed now!! I Am soooo tired and my neck is soooo sore still!! 
negative,Lol damn! U stay playing me  @butterflyylost
negative,"epic ending to flight of the conchords, but i'm sad because they probably won't make another series "
positive,@AffiliateStuff congratulations! Well done on the win 
positive,@m_callahan WHAT WHATT!  congrats on graduation [soon]
positive,http://twitpic.com/6urut - I believe I am in love. haha. perfect man  Cute ass style &amp; a funny personality.
positive,Correction:: well its a bit after 1:00 in the morning and I'm still on twitter. Dang this addicting.haha. 
positive,@crimsonx76 Thanks for all the music reviews. 
positive,off to hubby's company family day! parokya ni edgar will be playing + there's loads of FREE food and medical services. just awesome!  #fb
positive,"ok kids, i gotta hit the sack. TIRED. Go WINGS .. Wait, YAH WINGS! "
positive,@zedshaw I was referring more to not hitting the reply button for the specific tweet.  Makes it hard for tweetie to show the conversation 
positive,@souljaboytellem one of your biggest fans in the uk 
negative,"@rachieann bless your heart, i wish your mail would come "
positive,@duchessmag awwwww thank u  thats amazing hehe
negative,@dowwhiz hmmmm Do I haaaaaave to guess? 
negative,"(continued)@mitchelmusso I got to C u but I'd wouldve like to actually say hi, give you a hug, get a pic but no it was really rushed! "
positive,@hokieguru Thanks...I'll need some luck too  And I must cut down on the diet soda and replace it with water.  Sheesh...gonna be tough.
negative,@tedwheeler I think lots of folks could not get past the first sentence for your social media position announcement.  That + 70k  =  
positive,@popstarmagazine http://twitpic.com/5fdtz - aww thats cute  she's looking really pretty 
positive,http://twitpic.com/5cp1j - Tiffanny and I 
negative,@david6117 thanks for the invite! 
negative,"Amazing what distraction can do. Was feeling better for awhile, but starting to not feel so awesome again. "
negative,i miss my buddy already 
negative,Being Depressed Sucks 
negative,No aquarius so far    All by my lonesome
positive,@ryanloewe really?! I've had the complete opposite experience. User error? 
positive,"Lovely morning to wake up to.  Hope I get to go to the museum today, I'm really aching to go."
positive,just woken up feel amazing that i havent got work tomorrow looking for ward to tonight 
positive,Happy Star Wars Day. May the 4th be with you!  Nice that we get a holiday to celebrate  #fb
positive,"@13uckShot LOL...oh well you know how life can be, I'm good though...nothing I cant handle. "
positive,"I finished my South Park history project! Bahahaha, one of the dumbest things i've ever made "
negative,smh at bein unloved  by&gt;&gt; @JayyStarr   lol
negative,Deathly deathly boreddd 
positive,"@suenaing Haha, about taking bus thingy... I guess I figured that you were actually talking about that.. "
positive,@charmainejc good choice of music 
positive,"@AnnebrittB slaying dragons &amp; rescue innocents, this could be a good life movie   Make sure to take a camara and film!!!! "
negative,@NixiePixel I wish I could stop president Bush from killing so many innocent people in Iraq 
positive,"10 minutes left at work! then going to jen flanagans fundraiser, probably out to dinner after--sounds like a good night "
positive,Music + School + Raging = Welcome to my life...  Good morning!!
negative,"misses her ex, and hopes he has a good birthday "
positive,"@yaboyTSTUBB uhmm yea, I'm a pretty smart chick....you gotta come harder than the average with me "
positive,@NafeesaA you missing out on some hot pics... get me a small and medium and ill try n get u what u need.  lol yah trick..
positive,@steaminlt24 I love mr. Thomas!!! He really does always hook it up 
positive,Just got pau a gig @ Dole Cannery and bout to watch Family guy!! 
positive,KENDRA PREMIERS TONIGHT  SUPER EXCITED
negative,"@Isayhello29 I've been fightin nonstop w/ a girl I went out with for 3+ years, I just don't want something that was so great to be over "
negative,Damn my foooot fucckin hurts and my back hurts  i neeed a masssage
negative,"@LornaRamsey Another one just rang in, but she requested Muse  Boo to historians' taste in music this time!"
negative,@Bizheat too late 
negative,lol just was at dining and we had aboggest splat compotition ouchies i didn't win though  lol
negative,@cassieventura http://twitpic.com/3vlwb - OHHH I WISH BE THERE .... 
negative,I feel like I'm drowning without water. 
negative,It's not as good as i hoped 
positive,i love L.A. goodnight 
negative,"already packing stuff for london, i miss you "
negative,@elmo0307 Aye they wanted to open for Roxbury but there was no space so had to punt them... 
positive,@sherryjonas i'm going! 
negative,@Poison_Ivy4 oh no you di'int! i thought we were tighter than that 
negative,Sooo Bored...Not Much To Do 
negative,@WrittenHouse sorry I had to jet...and that it was so drama..LOL had to attend to some personal biz. ur not following me anymore 
negative,@dstanek Did you get lost because of the AST stuff itself or because you tried to keep Mote's tests passing? Its tests are super brittle. 
negative,Headed to bed. I DON'T wanna LEAVE NY! I need a plan B bcuz leaving ISN'T working for me...hmm!  Cld I work remotely all week?  Prob not. 
positive,Trying to synchronize twitter and facebook..can't we just all get along 
negative,Working on a reading response due tomorrow at noon when all I really want to do is hang out with my friends. Again. 
negative,@digthemoment so stick with the storm  I may actually get the tour....but I love blackberries! Any suggestions cuz I want an iPhone
positive,@Scath She's my choice for the older incarnation of my MC in my book as well! I adore her 
negative,I think I'm gonna be sick. 
negative,@FxNxRl Can you bring your camera to the meeting? I forgot mine at home.... 
negative,Damn I missed Alan on TM. 
negative,@dinafragola Oh pity!  But there are some great brush cleaner who could maybe do the trick?
negative,@branhead4lyfe aaw pray for me! i forgot to wake up and my mom went without me 
negative,just woke up...only to find out that an error occurred with my download. 
positive,@stars202 wow! That sounds pretty neat! That would be a big improvement for macro shots and stuff! 
positive,@joelhwilliams Keep telling youself that  It actually corrects my bad spelling a whole lot more than wrongly correcting my intentions.
positive,@Beermans DON'T WORRY DEAR YOU DID FINE.  Oh by the way I have no credit but was mighty chuffed to receive your text!
negative,@caitdog13 lucky! been beggin for jury duty for years...they dont ever send me notices! just notices for other people to my address! 
negative,Is it really still worth it? I mean...I just wish he didn't tell me 
positive,selling my phone tomoroww ;) will by a iphone 
negative,I am still sick  agh no fun
positive,@QHomeBiz Brave marketing. 
negative,@SmooVeShaBazz I have that for my phone.... My lil ball on my phone wont go down 
positive,"@wickedground oh man, there's a startrek_crack comm, I'm totally suggesting our fairytale idea there "
positive,Okay Bye na!  ARAL NA E?  Take care Twits!
positive,G'mornin everyone!  Feelin a bit better this morning 
positive,"finally, i have uploaded my documentary to an external site... message me for link and password!!!  "
negative,"@hoperana nigel really enjoyed it, but he's got a big scratch on his side that inexplicably appeared afterwards... "
positive,@mugluf for me it kind of was.. I mean I have had a 2 minuet 1 before 
positive,"@angelofmusic11 Well Sorry to rub it in, but it's after 6am here I think I will try and go back to sleep...laters. Have a good day "
negative,I hate my phone 
positive,Practicing for senior crawl with ri 
positive,@ShadesofJaide Thanks for the Cards game updates.  Where I'm at I can't see the game
negative,is struggling today.. 
positive,you know you're an addict when the camera guy at Ritz knows you by name 
positive,is makeing his first tweet 
positive,@illaphilla Holiday Inn Express in Old Town San Diego   It might help that we're staying monday to friday and then crashing eslewhere lol
positive,@missdaisymusic LOL thanks for that! You should go have a look 
positive,omgosh I &lt;3 this photo!!! http://bit.ly/ZWRJC  (it's @julesanne95) 
positive,@HannahTastic They are heavenly arent they 
negative,i want an iphone.... period! 
positive,@BBy_V: i've seen a car lately whichs license plate said ROFL...  ... anyWHOOO. chatzy??!
negative,A show about fat people dancing. Because everything is funnier when fat people do it? 
positive,@mimoknits Moles I got; moles and voles and mice and chippies and squirrels and you name it. 
negative,@mindlesspursuit I'd join you in chat but you have to register.  I'm in an Etsychat.
negative,@TaLisaDuhhh you say fuck them w. a smiley face ? nooooo  lol
negative,@TiffanyWI i changed my plans and not going to wpc anymore 
negative,@kyleastadig omg! That sounds horrible.  I hope you feel better soon! Jeeze...did you look up the symptoms online?? Maybe that will help.
positive,Loving az land. It's so hot! Had to leave Cali to get some sun. Not looking forward to going back to the cloudy mist! Only to @uscjgood 
positive,Celebrating our fake anniversary via street fair food 
positive,@StephanieMxx Honestly you wouldn't bless them if you had them for an hour!! Nice boobs by the way 
positive,"Very enjoyable article from @captimes, however. My qualms are with society, and certainly not the piece or researchers "
negative,So my family is leaving for france tomorrow.... without me 
negative,needs desp. help in debugging a website in Action Script 3 
positive,Beauuuuutiful day 
negative,@Kungfus0n  I tweeted before he's sick as hell with a fever   and I'm getting ready for sleeps lol we're celebrating next week 
positive,@fixin2 my Suggestion? Pray 
negative,@ClaritzaPD miss you too! and @yanilsuarez and @marcel623!! 
negative,@DarkDevilM  what's wrong
positive,"@dianebirch Wow, idiots do exist on twitter, and they're in switzerland. You guys were money tonight. @Miketobias and I love your album. "
negative,@TessdeJong Cool ! My weekend begins in 2 hours 1/2... hard with the sun outside 
negative,@jonaskevin  ill see you then! maybe then ill be able to stay on! and not overuse my twitter priveleges!
negative,@dndkusuma AHAHA din my brad pitt is goneee. i dont know where he is now 
negative,"boring, ga jadi hang out bareng pacull  so sad argh!"
positive,is back from watching IP Man. T'was great! I want to be a kung fu master when I grow up. 
negative,just took a test in accounting  blah
negative,Just finished my pretty shawl for the wedding reception starting in 20 minutes.  Bound off edge too tight so wearing it upside down.  
negative,On my way home from my visit w/ my fav cousin and katie 
positive,"is listening to Nevershoutnever  Follow me, MySpace me. Garrett, I effing love youu!."
negative,It appears my good packing job was mostly for the stuff in storage.  I don't know where anything that came home with me is.  
negative,I just cracked up white lightning...  everybody is fine. i'll figure my way out of this one as I always do.
positive,@VNW Thanks boo! I will 
positive,"Turning Into a Veggie NOT Because I Love Animals ,,I Just Don't Like Meat =].Except In Burgers "
negative,@FBRInternJess so jealous about the show tonight 
negative,"Yawn...time for a nap! I wish @Timmyy0522 was home, too! "
negative,@CrunchyK I'm headed to Miami tomorrow...wish it was Atlanta! 
negative,Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not. 
negative,@Kevirus I will! Next year  It'll go by fast again though. I need to start to research colleges again.
positive,"Ah, really, such a good night. Still awake, will I sleep at all? "
positive,@MrzMosley its ok mah. make sure u do it tho. then dm me  
positive,@VIPforLife of course it was a joke  We're all so tired and nobody wants to work. So everybody said &quot;I want the bed&quot;
negative,Cleaned out me Followers List and blocked the porn girls &amp; Crap Now I look like a spammer 
negative,"@entropyblues Don't be like Ahab, dude. "
negative,@jarnmang  Hope everything ok! Can burr fix this?
negative,"@RyanStar and running...and running? ;) God, that's beautiful! Overcast here "
positive,@rushay right back at u mr masala 
negative,@splattt_twloha the beginning of the end has come  glad to hear it was a goodnight though.
negative,@AnTruong1 no  ....I'm going to sd tonite!
negative,@aprna at least you've got clouds to anticipate rains! We've got nothing 
negative,@shanman98 Are you off the air?!  Did I miss the tix?  
negative,@deadra PiÃ±ata came back last night. I am an old cat man. 
negative,@nmcgivney As for harbingers...them &amp; portents can sod off.  Each time I get smthng for the garden it rains for weeks. Got a tomato plant 
negative,work again tomorrow. bummer. 
negative,"Hmmmm, headache again "
positive,@dickie_dirt Glad you got it sorted 
positive,@calypsominerals IT&quot;S HOTTT!!!! lol dude i'm working on the HD pics now.. I got so many compliments when I was out today..! 
positive,"After the really busy week of last, I missed twitter. Night all. Tomorrow comes. "
positive,http://twitpic.com/3nf8m - at work 
negative,@twidroid favorites added from Twidroid v2.1.7 are not being recorded in twitter web but showing on phone  any ideas?
positive,is FINALLY going to bed! Whoever kept me up is a real jerk! 
negative,In for the night... Tonight's not good... 
positive,Poo. I found ddr. And its kicking my a. But im still AWESOME. 
positive,@HaidaFauzi FF is officially launched on june first! *throws pink confetti around* thank you dear founder for doing the website. 
negative,Looks like Ben and jerrys is gonna be the only bj I get today 
positive,I want my book alreadyyy... L.A. CANDY  Ahh so excited hopefully i get to go on june 16!!!!
negative,"missing ASIA, MARY, and ROSE!!!!!!!!!!!!!!!!!!!! "
negative,I think my world is getting worst. what's happening? If I could just turn back the time that was so colorful and happy. 
negative,"@Don_J i soo dont wanna work tmrw!  ...only on a half day tho so hopefully the sun will stay out for me! Gonna go get showered, tweet l8rs"
negative,@aianna21 I don't want either  *pushes June away and clings to May*
negative,Its gonna b a lonnng day...job hunting 
positive,"@tehmonocran i was hoping you'd say ''preach it, sistah'' "
positive,@notMordecai Hey Man Send Some Music My Way pl0x! 
positive,watching tosh.0 
positive,@BrookeWyatt you also!! 
negative,No more chatting with buddies 
positive,@Scott_Ian can't wait!  just reading âthe heaviest thing weâve done since âCaught In A Moshââ? made my heart beat a little faster.  
positive,lookin for a scholarship to enroll Drummers Collective ... anyone ? 
negative,@amtalley's cyber abuse is takin its toll on me mentally. 
negative,"Berlin update: Still using internet cafe, "
positive,"Sweet. I am now filled with glee having signed up in Krav Maga with the witch, sarah &amp; carrie ann. "
positive,Do it now.. you know who you are! 
negative,"downloading cards and charging batteries. still starving, but there's nothing to eat in here. "
negative,ahh man red wings lost!!!  it was a good game though and plus all new disney episodes on today so hyped hahaha
negative,of course now that i am finally home i feel like crap. haven't even gotten to really see john yet 
positive,Goodnight everyone. God is so good  i love him so very very much 
negative,"Dammit, a 24minute anime goes really quickly when you really want it to last.  Ah well, off to work, might get another D.Gray-man read..."
positive,is eating Camior light.ï¿½ milk chocolate with hazelnuts pero no sugar added.  http://plurk.com/p/ukdub
negative,"is sad, my iPhone is broken "
negative,is getting old and is not liking it one bit! 
positive,i look damn good!  so confident!
positive,"@carlarose OOOOh,man that would be sooo cool tho! "
positive,"@UrbanAZcom Hola! Wow, you certainly made an entrance! haha ;) How are you doing? "
negative,Fever is on the up and up 
positive,@pfspleen It made my hair look grey in comparison. 
negative,@rosieoutlook sounds poo  hope you guys sort it out x
positive,@snufsnuf  COOOL!! just I envisioned it!!! 
negative,my throat hurts! 
positive,@Mr_Askaboutme Naa Coral springs fits me  lol
negative,@azzyheartsw Feels like the kindest thing to do at the time. I felt drained cod of hayfever  x
negative,I hate boys 
positive,@snarkyrainbow I don't think I have any goofy hats that you haven't seen. I'll have to go to a hat shop and take some. 
positive,Spartan over Ninja 65% of the time. Shocking! Ninja expert said Ninja would just run away and kill Spartan in his sleep 
negative,@SaulaSmurf Why's doctor not gonna happen? I love living in the States... and do not want to leave!!! 
positive,Sitting out in my aunties back garden - relaxing in the sun listening to Hey Monday!!  &lt;3
positive,@fifidoodles Change is ALWAYS good 
negative,Less than two hours in Twitter and I already have 2 spam messages 
